2021-02-02T09:41:16.310+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/MotCtrlVHDL_Log_002.txt"}
2021-02-02T09:41:16.311+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/MotCtrlVHDL_Log_003.txt"}
2021-02-02T09:41:16.313+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/MotCtrlVHDL_Log_004.txt"}
2021-02-02T09:41:16.314+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/MotCtrlVHDL_Log_005.txt"}
2021-02-02T09:41:16.316+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/MotCtrlVHDL_Log_006.txt"}
2021-02-02T09:41:16.317+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/MotCtrlVHDL_Log_007.txt"}
2021-02-02T09:41:16.318+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/MotCtrlVHDL_Log_008.txt"}
2021-02-02T09:41:16.319+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/MotCtrlVHDL_Log_009.txt"}
2021-02-02T09:41:16.321+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/MotCtrlVHDL_Log_010.txt"}
2021-02-02T09:41:16.322+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/MotCtrlVHDL_Log_011.txt"}
2021-02-02T09:41:16.324+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/Reallocated_Sector_Ct.txt"}
2021-02-02T09:41:16.325+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/Transfer.log"}
2021-02-02T09:41:16.325+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/autotest_pipeerrors.txt"}
2021-02-02T09:41:16.325+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/db-structure_upgrade.log"}
2021-02-02T09:41:16.325+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000001.txt"}
2021-02-02T09:41:16.343+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000002.txt"}
2021-02-02T09:41:16.364+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000003.txt"}
2021-02-02T09:41:16.383+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000004.txt"}
2021-02-02T09:41:16.400+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000005.txt"}
2021-02-02T09:41:16.418+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000006.txt"}
2021-02-02T09:41:16.435+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000007.txt"}
2021-02-02T09:41:16.454+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000008.txt"}
2021-02-02T09:41:16.472+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000009.txt"}
2021-02-02T09:41:16.490+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000010.txt"}
2021-02-02T09:41:16.509+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000011.txt"}
2021-02-02T09:41:16.529+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000012.txt"}
2021-02-02T09:41:16.547+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000013.txt"}
2021-02-02T09:41:16.563+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000014.txt"}
2021-02-02T09:41:16.581+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000015.txt"}
2021-02-02T09:41:16.603+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000016.txt"}
2021-02-02T09:41:16.624+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000017.txt"}
2021-02-02T09:41:16.652+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000018.txt"}
2021-02-02T09:41:16.676+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000019.txt"}
2021-02-02T09:41:16.707+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000020.txt"}
2021-02-02T09:41:16.729+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000021.txt"}
2021-02-02T09:41:16.753+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000022.txt"}
2021-02-02T09:41:16.779+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000023.txt"}
2021-02-02T09:41:16.797+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/log-voluson_000024.txt"}
2021-02-02T09:41:16.814+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/merge.log"}
2021-02-02T09:41:16.815+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/regions.log"}
2021-02-02T09:41:16.815+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/screensaver.txt"}
2021-02-02T09:41:16.815+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/smartlog.tmp.gz"}
2021-02-02T09:41:16.816+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/smartlog.txt.gz"}
2021-02-02T09:41:16.816+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/smartlog.uis.txt"}
2021-02-02T09:41:16.816+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/smarttest.txt"}
2021-02-02T09:42:15.924+0300	DEBUG	client/main.go:48	ticker loop
2021-02-02T09:42:15.924+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/1.txt"}
2021-02-02T09:42:15.930+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/APCRemoteControl.log"}
2021-02-02T09:42:15.934+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/CrashDump_000001.zip"}
2021-02-02T09:42:15.939+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/DevListServLog.txt"}
2021-02-02T09:42:15.940+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/DevListServLogExt.txt"}
2021-02-02T09:42:15.940+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/EvntTimer.csv"}
2021-02-02T09:42:15.942+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_1.html"}
2021-02-02T09:42:15.942+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_10.html"}
2021-02-02T09:42:15.942+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_11.html"}
2021-02-02T09:42:15.943+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_12.html"}
2021-02-02T09:42:15.945+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_13.html"}
2021-02-02T09:42:15.946+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_14.html"}
2021-02-02T09:42:15.947+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_15.html"}
2021-02-02T09:42:15.948+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_16.html"}
2021-02-02T09:42:15.949+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_17.html"}
2021-02-02T09:42:15.950+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_18.html"}
2021-02-02T09:42:15.950+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_19.html"}
2021-02-02T09:42:15.950+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_2.html"}
2021-02-02T09:42:15.950+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_20.html"}
2021-02-02T09:42:15.950+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_21.html"}
2021-02-02T09:42:15.951+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_22.html"}
2021-02-02T09:42:15.951+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_23.html"}
2021-02-02T09:42:15.952+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_24.html"}
2021-02-02T09:42:15.952+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_25.html"}
2021-02-02T09:42:15.952+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_26.html"}
2021-02-02T09:42:15.953+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_27.html"}
2021-02-02T09:42:15.953+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_28.html"}
2021-02-02T09:42:15.953+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_29.html"}
2021-02-02T09:42:15.954+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_3.html"}
2021-02-02T09:42:15.954+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_30.html"}
2021-02-02T09:42:15.954+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_31.html"}
2021-02-02T09:42:15.954+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_32.html"}
2021-02-02T09:42:15.954+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_33.html"}
2021-02-02T09:42:15.955+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_34.html"}
2021-02-02T09:42:15.955+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_35.html"}
2021-02-02T09:42:15.955+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_36.html"}
2021-02-02T09:42:15.955+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_37.html"}
2021-02-02T09:42:15.955+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_38.html"}
2021-02-02T09:42:15.956+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_39.html"}
2021-02-02T09:42:15.958+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_4.html"}
2021-02-02T09:42:15.958+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_40.html"}
2021-02-02T09:42:15.958+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_41.html"}
2021-02-02T09:42:15.959+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_5.html"}
2021-02-02T09:42:15.959+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_6.html"}
2021-02-02T09:42:15.959+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_7.html"}
2021-02-02T09:42:15.959+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_8.html"}
2021-02-02T09:42:15.959+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ADC_9.html"}
2021-02-02T09:42:15.959+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_1.html"}
2021-02-02T09:42:15.960+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_10.html"}
2021-02-02T09:42:15.960+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_11.html"}
2021-02-02T09:42:15.961+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_12.html"}
2021-02-02T09:42:15.961+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_13.html"}
2021-02-02T09:42:15.961+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_14.html"}
2021-02-02T09:42:15.962+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_15.html"}
2021-02-02T09:42:15.962+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_16.html"}
2021-02-02T09:42:15.962+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_17.html"}
2021-02-02T09:42:15.963+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_18.html"}
2021-02-02T09:42:15.963+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_19.html"}
2021-02-02T09:42:15.964+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_2.html"}
2021-02-02T09:42:15.964+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_20.html"}
2021-02-02T09:42:15.964+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_21.html"}
2021-02-02T09:42:15.965+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_22.html"}
2021-02-02T09:42:15.966+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_23.html"}
2021-02-02T09:42:15.966+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_24.html"}
2021-02-02T09:42:15.967+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_25.html"}
2021-02-02T09:42:15.968+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_26.html"}
2021-02-02T09:42:15.969+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_27.html"}
2021-02-02T09:42:15.969+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_28.html"}
2021-02-02T09:42:15.970+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_29.html"}
2021-02-02T09:42:15.970+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_3.html"}
2021-02-02T09:42:15.971+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_30.html"}
2021-02-02T09:42:15.971+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_31.html"}
2021-02-02T09:42:15.972+0300	DEBUG	client/main.go:55	fileWalk for file	{"fileName": "export/FE-TestReports/Service.All tests (all probes must be detached).RFM_RSX.ATGC_32.html"}
